id,title,description,link,categories,sources,geometries
EONET_8725,"HILL SIDE Wildfire, Pueblo, Colorado",,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_8725,"[{'id': 8, 'title': 'Wildfires'}]","[{'id': 'IRWIN', 'url': 'https://irwin.doi.gov/observer/'}]","[{'date': '2024-07-15T10:21:00Z', 'type': 'Point', 'coordinates': [-104.80968, 38.512107]}]"
EONET_8728,"#1 Apex /AZ STATE Wildfire, Coconino, Arizona",,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_8728,"[{'id': 8, 'title': 'Wildfires'}]","[{'id': 'IRWIN', 'url': 'https://irwin.doi.gov/observer/'}]","[{'date': '2024-07-15T02:05:00Z', 'type': 'Point', 'coordinates': [-112.24946, 35.869047]}]"
EONET_8731,"Prairie Wildfire, Rosebud, Montana","22 miles S of Lame Deer, MT",https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_8731,"[{'id': 8, 'title': 'Wildfires'}]","[{'id': 'IRWIN', 'url': 'https://irwin.doi.gov/observer/'}]","[{'date': '2024-07-14T18:37:00Z', 'type': 'Point', 'coordinates': [-106.695601, 45.286573]}]"
EONET_8736,"Hackley Wildfire, Rosebud, Montana","24 miles S of Lame Deer, MT",https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_8736,"[{'id': 8, 'title': 'Wildfires'}]","[{'id': 'IRWIN', 'url': 'https://irwin.doi.gov/observer/'}]","[{'date': '2024-07-14T18:36:00Z', 'type': 'Point', 'coordinates': [-106.488472, 45.317206]}]"
EONET_8734,"Apex Wildfire, Coconino, Arizona","10 miles West of Tusayan, AZ",https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_8734,"[{'id': 8, 'title': 'Wildfires'}]","[{'id': 'IRWIN', 'url': 'https://irwin.doi.gov/observer/'}]","[{'date': '2024-07-14T18:31:00Z', 'type': 'Point', 'coordinates': [-112.316, 35.953]}]"
EONET_8752,"Wallace Draw Wildfire, Converse, Wyoming",,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_8752,"[{'id': 8, 'title': 'Wildfires'}]","[{'id': 'IRWIN', 'url': 'https://irwin.doi.gov/observer/'}]","[{'date': '2024-07-14T11:53:00Z', 'type': 'Point', 'coordinates': [-105.828387, 43.230518]}]"
EONET_8741,"Oregon Trail Wildfire, Natrona, Wyoming",20 SW of Casper Wyoming,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_8741,"[{'id': 8, 'title': 'Wildfires'}]","[{'id': 'IRWIN', 'url': 'https://irwin.doi.gov/observer/'}]","[{'date': '2024-07-13T23:24:00Z', 'type': 'Point', 'coordinates': [-106.78041, 42.6761]}]"
EONET_8729,"0404 RV LONE ROCK Wildfire, Gilliam, Oregon","!0 Miles SE on Condon, OR",https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_8729,"[{'id': 8, 'title': 'Wildfires'}]","[{'id': 'IRWIN', 'url': 'https://irwin.doi.gov/observer/'}]","[{'date': '2024-07-13T20:28:00Z', 'type': 'Point', 'coordinates': [-120.01462, 45.267022]}]"
EONET_8743,"Gulch Wildfire, Mohave, Arizona",11 NM South Southwest of St. George UT,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_8743,"[{'id': 8, 'title': 'Wildfires'}]","[{'id': 'IRWIN', 'url': 'https://irwin.doi.gov/observer/'}]","[{'date': '2024-07-13T20:21:00Z', 'type': 'Point', 'coordinates': [-113.764144, 36.910273]}]"
EONET_8749,"Quail Springs Wildfire, Mohave, Arizona","12 Mile South St. George, UT",https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_8749,"[{'id': 8, 'title': 'Wildfires'}]","[{'id': 'IRWIN', 'url': 'https://irwin.doi.gov/observer/'}]","[{'date': '2024-07-13T20:08:00Z', 'type': 'Point', 'coordinates': [-113.628, 36.8848]}]"
EONET_8727,"3-6 RIM Wildfire, Lassen, California",NORTHWEST LASSEN COUNTY NEAR THE UNINCORPORATED COMMUNITY OF LITTLE VALLEY,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_8727,"[{'id': 8, 'title': 'Wildfires'}]","[{'id': 'IRWIN', 'url': 'https://irwin.doi.gov/observer/'}]","[{'date': '2024-07-13T18:31:00Z', 'type': 'Point', 'coordinates': [-121.14075, 40.891117]}]"
EONET_8732,"Speirs Wildfire, Daggett, Utah",30 miles north of Vernal,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_8732,"[{'id': 8, 'title': 'Wildfires'}]","[{'id': 'IRWIN', 'url': 'https://irwin.doi.gov/observer/'}]","[{'date': '2024-07-13T15:29:00Z', 'type': 'Point', 'coordinates': [-109.436694, 40.877667]}]"
EONET_8739,"Four Mile Wildfire, Big Horn, Montana","36 miles SW of Ashland, MT",https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_8739,"[{'id': 8, 'title': 'Wildfires'}]","[{'id': 'IRWIN', 'url': 'https://irwin.doi.gov/observer/'}]","[{'date': '2024-07-13T15:12:00Z', 'type': 'Point', 'coordinates': [-106.8385, 45.229833]}]"
EONET_8726,"HURRICANE Wildfire, San Luis Obispo, California",CARRIZO PLAIN NATIONAL MONUMENT,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_8726,"[{'id': 8, 'title': 'Wildfires'}]","[{'id': 'IRWIN', 'url': 'https://irwin.doi.gov/observer/'}]","[{'date': '2024-07-13T11:26:00Z', 'type': 'Point', 'coordinates': [-119.695667, 35.199333]}]"
EONET_8742,"Graff Point Wildfire, Iron, Utah","4-5 miles south Cedar City, UT",https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_8742,"[{'id': 8, 'title': 'Wildfires'}]","[{'id': 'IRWIN', 'url': 'https://irwin.doi.gov/observer/'}]","[{'date': '2024-07-13T09:41:00Z', 'type': 'Point', 'coordinates': [-113.095665, 37.608843]}]"
EONET_8746,"Line Creek Wildfire, Powder River, Montana","39 miles SW of Broadus, MT",https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_8746,"[{'id': 8, 'title': 'Wildfires'}]","[{'id': 'IRWIN', 'url': 'https://irwin.doi.gov/observer/'}]","[{'date': '2024-07-12T23:05:00Z', 'type': 'Point', 'coordinates': [-105.925713, 45.007626]}]"
EONET_8722,"Black Wildfire, Maricopa, Arizona",South of Lake Roosevelt on the edge to the Superstition Wilderness,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_8722,"[{'id': 8, 'title': 'Wildfires'}]","[{'id': 'IRWIN', 'url': 'https://irwin.doi.gov/observer/'}]","[{'date': '2024-07-12T22:11:00Z', 'type': 'Point', 'coordinates': [-111.117778, 33.608889]}]"
EONET_8760,Wildfire in Bulgaria 1020197,,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_8760,"[{'id': 8, 'title': 'Wildfires'}]","[{'id': 'GDACS', 'url': 'https://www.gdacs.org/report.aspx?eventtype=WF&amp;eventid=1020197'}]","[{'date': '2024-07-12T19:00:00Z', 'type': 'Point', 'coordinates': [26.354503597740813, 41.90506722262116]}]"
EONET_8750,"McGhee Wildfire, Rosebud, Montana","26 miles SSW of Ashland, MT",https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_8750,"[{'id': 8, 'title': 'Wildfires'}]","[{'id': 'IRWIN', 'url': 'https://irwin.doi.gov/observer/'}]","[{'date': '2024-07-12T17:29:00Z', 'type': 'Point', 'coordinates': [-106.481902, 45.265232]}]"
EONET_8738,"Anderson Wildfire, Big Horn, Montana","39 miles SW of Ashland, MT",https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_8738,"[{'id': 8, 'title': 'Wildfires'}]","[{'id': 'IRWIN', 'url': 'https://irwin.doi.gov/observer/'}]","[{'date': '2024-07-12T14:24:00Z', 'type': 'Point', 'coordinates': [-106.701833, 45.138167]}]"
EONET_8737,"Deadman Wildfire, Rosebud, Montana","32 SW of Ashland, MT",https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_8737,"[{'id': 8, 'title': 'Wildfires'}]","[{'id': 'IRWIN', 'url': 'https://irwin.doi.gov/observer/'}]","[{'date': '2024-07-12T10:07:00Z', 'type': 'Point', 'coordinates': [-106.635, 45.2458]}]"
EONET_8735,"FREEMAN Wildfire, Pinal, Arizona",14 miles Northwest of Oracle,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_8735,"[{'id': 8, 'title': 'Wildfires'}]","[{'id': 'IRWIN', 'url': 'https://irwin.doi.gov/observer/'}]","[{'date': '2024-07-11T22:18:00Z', 'type': 'Point', 'coordinates': [-110.933117, 32.83725]}]"
EONET_8724,"BROWN Wildfire, Pima, Arizona",20 MILE NORTH OF SASABE AZ,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_8724,"[{'id': 8, 'title': 'Wildfires'}]","[{'id': 'IRWIN', 'url': 'https://irwin.doi.gov/observer/'}]","[{'date': '2024-07-11T19:36:00Z', 'type': 'Point', 'coordinates': [-111.468717, 31.7694]}]"
EONET_8709,Wildfire in United States 1020181,,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_8709,"[{'id': 8, 'title': 'Wildfires'}]","[{'id': 'GDACS', 'url': 'https://www.gdacs.org/report.aspx?eventtype=WF&amp;eventid=1020181'}]","[{'date': '2024-07-11T19:00:00Z', 'type': 'Point', 'coordinates': [-117.64232423551373, 44.214524976447414]}]"
EONET_8757,Wildfire in Canada 1020193,,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_8757,"[{'id': 8, 'title': 'Wildfires'}]","[{'id': 'GDACS', 'url': 'https://www.gdacs.org/report.aspx?eventtype=WF&amp;eventid=1020193'}]","[{'date': '2024-07-11T19:00:00Z', 'type': 'Point', 'coordinates': [-119.1256172361415, 64.9355213252926]}]"
EONET_8745,"Paramount Wildfire, Sierra, New Mexico",Doagy Canyon and HWY 59,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_8745,"[{'id': 8, 'title': 'Wildfires'}]","[{'id': 'IRWIN', 'url': 'https://irwin.doi.gov/observer/'}]","[{'date': '2024-07-11T18:42:00Z', 'type': 'Point', 'coordinates': [-108.036288, 33.435546]}]"
EONET_8723,"Bench Lake Wildfire, Custer, Idaho","8 miles south of Stanley, ID",https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_8723,"[{'id': 8, 'title': 'Wildfires'}]","[{'id': 'IRWIN', 'url': 'https://irwin.doi.gov/observer/'}]","[{'date': '2024-07-11T14:33:00Z', 'type': 'Point', 'coordinates': [-115.004025, 44.09959]}]"
